新系统供应商编码,_month,一级分类,下单金额,占比
V1407728,2016-03,办公,3084.0,1.0
V1407730,2016-05,五金电气,1810.0,0.01240984011189425
V1407730,2016-05,办公,280.0,0.001919754271453254
V1407730,2016-05,工程电器,1050.0,0.0071990785179497025
V1407730,2016-05,建材,924.0,0.006335189095795738
V1407730,2016-05,暖通系统,360.0,0.0024682554918684695
V1407730,2016-05,服务用品,3750.0,0.02571099470696322
V1407730,2016-05,服务类,129948.0,0.8909579573814552
V1407730,2016-05,消防安防,6400.0,0.043880097633217235
V1407730,2016-05,门锁系统,1330.0,0.009118832789402957
V1407735,2016-05,办公,339.0,0.030049491778884527
V1407735,2016-05,服务用品,10384.3888,0.9204885129036595
V1407735,2016-05,鞋服配饰,558.0,0.049461995317455945
V1407752,2016-12,VI,1824.0,0.15399949088984097
V1407752,2016-12,五金电气,1874.0,0.15822096816204057
V1407752,2016-12,办公,110.0,0.009287249998839094
V1407752,2016-12,印刷,3430.1949999999997,0.2896098046342533
V1407752,2016-12,服务用品,1558.5,0.13158344657446117
V1407752,2016-12,服务类,2995.0,0.25286648860475536
V1407752,2016-12,鞋服配饰,52.5,0.0044325511358095674
V1407752,2017-12,VI,201.0,0.06021209034809179
V1407752,2017-12,办公,70.0,0.020969384698340424
V1407752,2017-12,印刷,3067.2,0.9188185249535678
V1407754,2017-03,VI,4647.0,0.9974243399871217
V1407754,2017-03,印刷,12.0,0.0025756600128783
V1407756,2016-02,服务用品,600.0,0.08994018977380042
V1407756,2016-02,特色商品,322.0,0.04826790184527289
V1407756,2016-02,食品饮料,5749.1,0.8617919083809267
V1407758,2016-05,服务类,18980.0,0.9046711153479504
V1407758,2016-05,消防安防,2000.0,0.09532888465204957
V1407775,2017-10,IT产品,185.0,0.0014703077314343845
V1407775,2017-10,五金电气,3460.0,0.027498728382502544
V1407775,2017-10,办公,1192.0,0.0094735503560529
V1407775,2017-10,服务用品,165.0,0.001311355544252289
V1407775,2017-10,服务类,45337.0,0.3603207655137335
V1407775,2017-10,消防安防,74475.0,0.5918982070193286
V1407775,2017-10,特色商品,1010.0,0.008027085452695829
V1407784,2016-03,五金电气,11765.0,0.41752134628897514
V1407784,2016-03,办公,120.0,0.004258611266865875
V1407784,2016-03,服务用品,450.0,0.01596979225074703
V1407784,2016-03,服务类,14373.2,0.510082262174305
V1407784,2016-03,消防安防,1470.0,0.052167988019106964
