EmployeeID,Vendor,start,end,count
200000127,中国XXXX铁路,2017-02-26,2017-03-04,19
152017444,中国XXXX高铁,2016-12-17,2016-12-18,19
152034703,中国XXXX道部,2017-03-24,2017-03-26,19
152014163,北京XXXX租车,2017-03-29,2017-03-29,19
152013454,中国XXXX铁路,2016-12-17,2016-12-18,19
200001356,中国XXXX铁路,2016-11-17,2016-11-19,19
152024864,火车XXXX车票,2016-12-01,2016-12-08,19
200000903,北京XXXX公司,2017-03-20,2017-03-27,19
152035033,北京XXXX公司,2016-11-07,2016-11-08,19
200001300,北京XXXX汽车,2016-12-02,2016-12-04,19
152047393,广铁XXXX集团,2016-12-14,2016-12-15,19
200000127,神州XXXX专车,2016-11-10,2016-11-13,19
152020616,中国XXXX铁路,2017-04-24,2017-04-25,19
200001639,广州XXXX公司,2016-10-30,2016-11-06,19
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,19
152028678,中国XXXX高铁,2016-11-18,2016-11-21,19
152039501,神州XXXX建）,2017-03-09,2017-03-09,19
200000496,重庆XXXX公司,2016-10-28,2016-10-29,19
200002343,出租XXXX租车,2016-12-04,2016-12-10,19
152018710,中国XXXX铁路,2016-10-19,2016-10-22,19
152011289,北京XXXX租车,2016-11-27,2016-12-03,19
152024864,出租XXXX租车,2016-12-03,2016-12-10,19
152030074,广州XXXX的士,2016-12-17,2016-12-18,19
152025446,中国XXXX铁路,2016-12-09,2016-12-16,19
152052857,中国XXXX铁路,2017-04-08,2017-04-09,18
152030074,广州XXXX的士,2016-12-02,2016-12-04,18
152008057,中国XXXX铁路,2016-10-23,2016-10-23,18
152030074,广州XXXX的士,2016-12-03,2016-12-10,18
152014163,北京XXXX租车,2017-03-29,2017-03-29,18
152021252,中国XXXX道路,2016-10-21,2016-10-23,18
200000903,北京XXXX公司,2017-03-20,2017-03-27,18
200000127,中国XXXX铁路,2017-02-26,2017-03-04,18
200001356,中国XXXX铁路,2016-11-17,2016-11-19,18
152034703,中国XXXX道部,2017-03-24,2017-03-26,18
152020627,铁路XXXX铁路,2016-11-11,2016-11-13,18
152022202,中国XXXX铁路,2016-12-17,2016-12-19,18
200001993,中国XXXX铁路,2017-02-24,2017-02-26,18
152039501,神州XXXX建）,2017-03-09,2017-03-09,18
200000496,重庆XXXX公司,2016-10-28,2016-10-29,18
200002343,出租XXXX租车,2016-12-04,2016-12-10,18
152025446,中国XXXX铁路,2016-12-09,2016-12-16,18
152024864,火车XXXX车票,2016-12-01,2016-12-08,18
200001639,广州XXXX公司,2016-10-30,2016-11-06,18
152020616,中国XXXX铁路,2017-04-24,2017-04-25,18
152022271,北汽XXXX集团,2016-12-07,2016-12-10,18
200000769,高铁XXXX公司,2016-10-21,2016-10-28,18
152007312,神州XXXX信息,2017-04-28,2017-04-29,18
152011289,北京XXXX租车,2016-11-27,2016-12-03,18
152024864,出租XXXX租车,2016-12-03,2016-12-10,18
152013454,中国XXXX铁路,2016-12-17,2016-12-18,18
152028678,中国XXXX高铁,2016-11-18,2016-11-21,18
152017444,中国XXXX高铁,2016-12-17,2016-12-18,18
152018014,泉州XXXX公司,2016-11-25,2016-11-27,18
152023226,出租XXXX租车,2017-03-25,2017-03-26,18
152014163,北京XXXX租车,2017-02-26,2017-02-26,18
152021006,北京XXXX公司,2016-10-29,2016-10-29,18
152018710,中国XXXX铁路,2016-10-19,2016-10-22,18
200001300,北京XXXX汽车,2016-12-03,2016-12-04,18
152023287,中国XXXX铁路,2017-04-07,2017-04-08,18
152030074,广州XXXX的士,2016-12-18,2016-12-18,18
